Date,Open,High,Low,Close,Volume
2024-04-07,1.08361,1.08375,1.08269,1.08296,2073
2024-04-08,1.08295,1.0864,1.0819,1.0862,126845
2024-04-09,1.08621,1.08851,1.0846,1.08587,117954
2024-04-10,1.08586,1.0866,1.0727,1.0741,133838
2024-04-11,1.0739,1.0757,1.0698,1.07258,156772
2024-04-12,1.07259,1.0729,1.0622,1.067,156824
2024-04-14,1.06334,1.0651,1.0632,1.0645,3514
2024-04-15,1.06459,1.06652,1.0619,1.06244,158333
2024-04-16,1.06243,1.0654,1.0576,1.06208,179088
2024-04-17,1.06207,1.06797,1.06058,1.06688,160534
2024-04-18,1.06687,1.0691,1.0638,1.06422,144861
2024-04-19,1.06423,1.0678,1.0609,1.0669,181701
2024-04-21,1.06544,1.06609,1.06537,1.06573,1984
2024-04-22,1.06575,1.0671,1.0623,1.06537,129313
2024-04-23,1.06537,1.07112,1.0637,1.07022,137999
2024-04-24,1.07023,1.07142,1.0677,1.06996,110328
2024-04-25,1.07,1.07393,1.0677,1.07265,138644
2024-04-26,1.07265,1.07528,1.0672,1.07,132910
2024-04-28,1.06914,1.0708,1.06891,1.07067,2058
2024-04-29,1.07069,1.0734,1.0688,1.07146,156161
2024-04-30,1.07145,1.07353,1.0663,1.06657,147688
2024-05-01,1.06658,1.0733,1.0648,1.07172,128394
2024-05-02,1.07174,1.0732,1.0673,1.0729,145917
2024-05-03,1.07299,1.08116,1.0723,1.07599,139634
2024-05-05,1.0771,1.0771,1.0756,1.07581,1545
2024-05-06,1.07581,1.0791,1.0754,1.0769,108445
2024-05-07,1.07703,1.0788,1.0745,1.07498,123121
2024-05-08,1.07495,1.0758,1.0733,1.07467,107619
2024-05-09,1.07465,1.0787,1.0723,1.07817,124085
2024-05-10,1.07816,1.0791,1.07587,1.0771,117136
2024-05-12,1.07718,1.07751,1.07658,1.0769,2305
2024-05-13,1.07699,1.0807,1.0764,1.07918,123675
2024-05-14,1.07919,1.0826,1.07652,1.08138,116030
2024-05-15,1.08134,1.0891,1.0811,1.0888,137165
2024-05-16,1.0888,1.0895,1.0853,1.08676,126178
2024-05-17,1.08675,1.0879,1.0834,1.08625,106156
2024-05-19,1.0865,1.0874,1.08607,1.0871,2053
2024-05-20,1.08723,1.08843,1.0852,1.08602,108229
2024-05-21,1.08601,1.0876,1.08423,1.08538,121330
2024-05-22,1.08536,1.08635,1.0816,1.08249,126319
2024-05-23,1.0825,1.0861,1.0803,1.08115,138764
2024-05-24,1.08114,1.0858,1.0804,1.0843,113296
2024-05-26,1.08436,1.08512,1.08403,1.0847,1774
2024-05-27,1.08464,1.08675,1.08207,1.08613,79797
2024-05-28,1.08614,1.08891,1.0849,1.08509,123661
2024-05-29,1.0851,1.0859,1.07891,1.08008,129439
2024-05-30,1.08007,1.08451,1.0787,1.08311,128490
2024-05-31,1.08311,1.0882,1.081,1.08301,130300
2024-06-02,1.08475,1.08542,1.08439,1.08524,3087
2024-06-03,1.08524,1.0911,1.0826,1.09071,129672
2024-06-04,1.0907,1.0916,1.0858,1.08814,136330
2024-06-05,1.08815,1.0892,1.0853,1.08737,122844
2024-06-06,1.0874,1.09019,1.0861,1.08915,121559
2024-06-07,1.08913,1.09017,1.0796,1.0816,135576
2024-06-09,1.07718,1.0781,1.07621,1.0778,3737
2024-06-10,1.07785,1.07812,1.0731,1.07632,123548
2024-06-11,1.07634,1.07735,1.0719,1.07399,123949
2024-06-12,1.074,1.08523,1.0733,1.08126,154454
2024-06-13,1.08126,1.0817,1.0732,1.07375,134643
2024-06-14,1.07371,1.0745,1.0666,1.0703,145146
2024-06-16,1.07026,1.07087,1.07,1.07024,2422
2024-06-17,1.07022,1.07411,1.0685,1.0738,128783
2024-06-18,1.07398,1.07614,1.0709,1.07386,129200
2024-06-19,1.07385,1.0754,1.0723,1.0747,90067
2024-06-20,1.07469,1.07481,1.06989,1.07058,95635
2024-06-21,1.07059,1.0721,1.067,1.0692,90640
2024-06-23,1.0683,1.06953,1.0683,1.06876,2567
2024-06-24,1.06877,1.0747,1.0682,1.07322,122375
2024-06-25,1.0732,1.07441,1.0658,1.07091,114751
2024-06-26,1.0708,1.0718,1.0664,1.06798,125302
2024-06-27,1.06797,1.07265,1.0675,1.07075,128990
2024-06-28,1.07076,1.0726,1.0684,1.0713,132381
2024-06-30,1.07445,1.07463,1.0732,1.07348,3489
2024-07-01,1.07348,1.07764,1.0718,1.07363,119291
2024-07-02,1.07363,1.075,1.0708,1.07479,121747
2024-07-03,1.0748,1.08164,1.0735,1.07909,97751
